title,type,location,website_url,pct_positive_overall_experience,pct_positive_skills_development,pct_found_full_time_employment
Le Cordon Bleu Australia,Non-University,VIC;NSW;SA,https://www.cordonbleu.edu/australia/home/en,65.5,74.1,
Leaders Institute,Non-University,VIC,https://leaders.edu.au/,95.8,100.0,
Lyons College,Non-University,,https://www.lyons.edu.au/,89.7,93.1,
Macquarie University,University,NSW,http://www.mq.edu.au/,76.1,80.8,71.5
Marcus Oldham College,Non-University,VIC,http://www.marcusoldham.vic.edu.au/,97.8,95.5,92.9
Melbourne Institute of Technology,Non-University,VIC;NSW,http://www.mit.edu.au,68.9,75.8,-1.0
Melbourne Polytechnic,Non-University,VIC,http://www.melbournepolytechnic.edu.au/,80.5,83.0,39.4
Monash College,Non-University,,https://www.monashcollege.edu.au/,73.9,82.7,
Monash University,University,VIC,http://www.monash.edu/,73.8,80.0,77.2
Moore Theological College,Non-University,NSW,http://www.moore.edu.au,93.0,90.5,89.9
Murdoch University,University,WA,http://www.murdoch.edu.au/,77.2,81.1,70.1
National Art School,Non-University,NSW,http://www.nas.edu.au/,79.5,76.2,40.0
Ozford Institute of Higher Education,Non-University,VIC,https://ozford.edu.au/,-1.0,-1.0,-1.0
Perth Bible College,Non-University,WA,https://www.pbc.wa.edu.au/,94.9,91.9,-1.0
Photography Studies College (Melbourne),Non-University,VIC,https://www.psc.edu.au/,91.5,88.3,-1.0
Polytechnic Institute Australia,Non-University,NSW,https://pia.edu.au/,85.1,91.2,
Queensland University of Technology,University,QLD,http://www.qut.edu.au/,75.9,79.7,78.2
RMIT University,University,VIC,http://www.rmit.edu.au/,73.4,80.7,64.7
S P Jain School of Global Management,Non-University,NSW,https://www.spjain.edu.au,59.5,83.4,
SAE University College,Non-University,QLD;VIC;WA;NSW,https://sae.edu.au/,75.0,83.6,43.8
Sheridan Institute of Higher Education,Non-University,WA,https://www.sheridan.edu.au/,93.2,97.3,-1.0
South Australian Institute of Business and Technology,Non-University,SA,https://www.saibt.sa.edu.au/,76.8,81.6,
Southern Cross Education Institute (Higher Education),Non-University,,https://scei-he.edu.au/,69.1,82.9,
Southern Cross University,University,NSW;QLD;VIC,http://www.scu.edu.au/,70.8,80.0,81.7
Stanley College,Non-University,WA,https://www.stanleycollege.edu.au/,81.2,88.7,
Swinburne University of Technology,University,VIC,http://www.swinburne.edu.au/,77.4,80.7,74.1
Sydney Institute of Business and Technology,Non-University,NSW,https://www.sibt.nsw.edu.au/,76.7,80.6,
Sydney International School of Technology and Commerce,Non-University,NSW,https://sistc.nsw.edu.au/,69.9,72.8,
Tabor College of Higher Education,Non-University,SA;WA;VIC,http://tabor.edu.au/,93.8,93.0,74.1
TAFE NSW,Non-University,NSW,http://www.tafensw.edu.au/degrees,80.6,86.8,67.5
TAFE Queensland,Non-University,QLD,http://tafeqld.edu.au/,67.7,78.0,91.9
TAFE South Australia,Non-University,SA,http://www.tafesa.edu.au/,67.1,82.7,-1.0
The Australian College of Physical Education,Non-University,NSW,https://www.acpe.edu.au/,81.3,87.5,66.7
The Australian Institute of Music,Non-University,VIC;NSW,http://www.aim.edu.au/,69.3,76.5,56.3
The Australian National University,University,ACT,http://www.anu.edu.au/,78.7,79.7,76.6
The Cairnmillar Institute,Non-University,VIC,http://www.cairnmillar.edu.au,100.0,100.0,
The Institute of Creative Arts and Technology,Non-University,NSW;VIC,https://www.icat.edu.au/,71.3,87.9,59.3
The JMC Academy,Non-University,NSW;VIC;QLD,https://www.jmcacademy.edu.au,78.9,83.8,
The University of Melbourne,University,VIC,http://www.our.melbourne.edu.au/,71.1,76.7,61.6
The University of Notre Dame Australia,University,WA;NSW,http://www.nd.edu.au/,75.4,85.4,85.5
The University of Queensland,University,QLD,http://www.uq.edu.au/,78.0,79.0,80.2
The University of Sydney,University,NSW,http://sydney.edu.au/,71.3,79.4,76.7
The University of Western Australia,University,WA,http://www.uwa.edu.au/,75.5,77.4,66.4
Think Education,Non-University,NSW;QLD;VIC;WA,http://www.think.edu.au/,63.3,85.7,
Torrens University,University,SA;NSW;VIC;QLD,http://www.torrens.edu.au/,77.8,78.9,65.8
Universal Business School Sydney,Non-University,NSW,http://www.ubss.edu.au/,83.0,87.6,
Universal Higher Education,University,ACT;NSW;NT;QLD;SA;TAS;VIC;WA,https://www.uhe.edu.au/,,,
University of Canberra,University,ACT,http://www.canberra.edu.au,73.8,79.4,80.6
University of Divinity,University,VIC;SA;NSW,http://www.divinity.edu.au,90.7,92.1,80.2
University of New England,University,NSW,http://www.une.edu.au/,80.2,78.8,87.8
University of New South Wales,University,NSW;ACT,http://www.unsw.edu.au/,72.2,77.4,77.4
University of Newcastle,University,NSW,http://www.newcastle.edu.au/,78.2,81.0,81.5
University of Southern Queensland,University,QLD,https://www.unisq.edu.au/,75.3,78.0,85.0
University of Tasmania,University,TAS;NSW,http://www.utas.edu.au/,76.7,77.2,81.9
University of Technology Sydney,University,NSW,http://www.uts.edu.au/,76.7,81.5,73.9
University of the Sunshine Coast,University,QLD,http://www.usc.edu.au/,80.7,84.0,74.5
University of Wollongong,University,NSW,http://www.uow.edu.au/index.html,80.7,83.6,74.1
UOW College,Non-University,NSW,http://www.uowcollege.edu.au/index.html,80.5,81.2,
UTS College,Non-University,NSW,https://utscollege.edu.au/,69.7,76.8,
Victoria University,University,VIC;NSW,http://www.vu.edu.au/,80.0,85.4,64.7
VIT (Victorian Institute of Technology),Non-University,VIC,https://vit.edu.au,73.5,76.6,
Wentworth Institute,Non-University,NSW,https://www.win.edu.au,71.9,79.5,
Western Sydney University,University,NSW,http://www.westernsydney.edu.au,74.7,81.7,70.6
Western Sydney University International College,Non-University,,https://internationalcollege.westernsydney.edu.au/,87.3,79.2,
"Whitehouse Institute of Design, Australia",Non-University,VIC;NSW,http://www.whitehouse-design.edu.au/,73.5,86.5,45.4
William Angliss Institute,Non-University,VIC,http://www.angliss.edu.au/,78.3,86.4,58.1
